comment_id,video_id,video_title,comment,cleaned_comment,processed_comment
92,TcMBFSGVi1c,Avengers Endgame Trailer,Doomsday is upon us.,doomsday is upon us,doomsday upon u
93,TcMBFSGVi1c,Avengers Endgame Trailer,"25th January 2026
10 months and 22 days to Doomsday 🔥","th january 
 months and  days to doomsday ",th january month day doomsday
94,TcMBFSGVi1c,Avengers Endgame Trailer,Anybody here January 2026?,anybody here january ,anybody january
95,TcMBFSGVi1c,Avengers Endgame Trailer,"Avengers : whatever it takes 

Chadwick Boseman : it took everything, thanks for the journey","avengers  whatever it takes 

chadwick boseman  it took everything thanks for the journey",avenger whatever take chadwick boseman took everything thanks journey
96,TcMBFSGVi1c,Avengers Endgame Trailer,The Infinity Saga was such an amazing ride. Once in a lifetime thing.,the infinity saga was such an amazing ride once in a lifetime thing,infinity saga amazing ride lifetime thing
97,TcMBFSGVi1c,Avengers Endgame Trailer,"It seems like a thousand years ago... I fought my way out of that cave... became Iron Man... realized I loved you... I know I said no more surprises, but... I was really hoping to pull off one last one.🥲",it seems like a thousand years ago i fought my way out of that cave became iron man realized i loved you i know i said no more surprises but i was really hoping to pull off one last one,seems like thousand year ago fought way cave became iron man realized loved know said no surprise really hoping pull one last one
98,TcMBFSGVi1c,Avengers Endgame Trailer,“Realized I loved you”❤️,realized i loved you,realized loved
99,TcMBFSGVi1c,Avengers Endgame Trailer,Here after all four teasers of Doomsday,here after all four teasers of doomsday,four teaser doomsday
100,TcMBFSGVi1c,Avengers Endgame Trailer,Why it keeps coming in my suggestions again and again 👀👀,why it keeps coming in my suggestions again and again ,keep coming suggestion
101,TcMBFSGVi1c,Avengers Endgame Trailer,What's wrong with my YouTube guy? It says 6 years ago.,whats wrong with my youtube guy it says  years ago,whats wrong youtube guy say year ago
102,TcMBFSGVi1c,Avengers Endgame Trailer,"Heyif ki, buna Sinemada baxa bilmədim. From Baku,Azerbaijan. Rauf Abbasov Ağdamlı, 24 Yanvar saat 01:19-da yazdım bunu.🇦🇿",heyif ki buna sinemada baxa bilmdim from bakuazerbaijan rauf abbasov adaml  yanvar saat da yazdm bunu,heyif ki buna sinemada baxa bilmdim bakuazerbaijan rauf abbasov adaml yanvar saat da yazdm bunu
103,TcMBFSGVi1c,Avengers Endgame Trailer,My favourite superhero ( Iron man 😢,my favourite superhero  iron man ,favourite superhero iron man
104,TcMBFSGVi1c,Avengers Endgame Trailer,Any hawks fans here? Whatever it takes,any hawks fans here whatever it takes,hawk fan whatever take
105,TcMBFSGVi1c,Avengers Endgame Trailer,"22nd January 2026
10 months and 25 days to Doomsday 🔥","nd january 
 months and  days to doomsday ",nd january month day doomsday
106,TcMBFSGVi1c,Avengers Endgame Trailer,7years ago,years ago,year ago
107,TcMBFSGVi1c,Avengers Endgame Trailer,"21st January 2026
10 months and 26 days to Doomsday","st january 
 months and  days to doomsday",st january month day doomsday
